sum_ip,ent_port_src,AtkOrNot
1,0,0
2,1,0
2,0,0
3,0,0
3,1.5849625007,0
3,0.9182958341,0
4,1.5,0
4,2,0
5,1.3709505945,0
5,2.3219280949,0
5,1.9219280949,0
6,1.7924812504,0
6,0.6500224216,0
6,2.2516291674,0
6,2.5849625007,0
7,1.9502120649,0
7,2.5216406363,0
7,0.985228136,0
7,2.1280852789,0
7,2.5216406363,0
7,1.9502120649,0
7,2.8073549221,0
8,2.75,0
8,2.5,0
8,3,0
8,1.5487949407,0
9,2.9477027792,0
9,2.6416041679,0
9,3.1699250014,0
9,2.725480557,0
10,3.3219280949,0
11,3.4594316186,0
12,2,0
12,2.5849625007,0
12,3.5849625007,0
13,3.7004397181,0
14,3.8073549221,0
14,3.5216406363,0
15,3.9068905956,0
16,4,0
17,4.0874628413,0
18,4.1699250014,0
19,4.1426643555,0
20,2,0
20,4.3219280949,0
21,4.3923174228,0
22,4.4594316186,0
23,4.5235619561,0
24,4.5849625007,0
30,4.9068905956,0
184,7.5235619561,1
74,6.2094533656,1
72,6.1699250014,1
75,6.2288186905,1
75,6.2288186905,1
74,6.2094533656,1
76,6.2479275134,1
74,6.2094533656,1
74,6.2094533656,1
73,6.1898245589,1
55,5.7813597135,1
53,5.7279204546,1
73,6.1898245589,1
42,5.3923174228,1
62,5.9541963104,1
62,5.9541963104,1
73,6.1898245589,1
64,6,1
75,6.2288186905,1
72,6.1699250014,1
60,5.9068905956,1
75,6.2288186905,1
53,5.7279204546,1
51,5.672425342,1
57,5.8328900142,1
37,5.2094533656,1
34,5.0874628413,1
73,6.1898245589,1
38,5.2479275134,1
40,5.3219280949,1
40,5.3219280949,1
