ent_port_src,AtkOrNot
0,0
1,0
0,0
0,0
1.5849625007,0
0.9182958341,0
1.5,0
2,0
1.3709505945,0
2.3219280949,0
1.9219280949,0
1.7924812504,0
0.6500224216,0
2.2516291674,0
2.5849625007,0
1.9502120649,0
2.5216406363,0
0.985228136,0
2.1280852789,0
2.5216406363,0
1.9502120649,0
2.8073549221,0
2.75,0
2.5,0
3,0
1.5487949407,0
2.9477027792,0
2.6416041679,0
3.1699250014,0
2.725480557,0
3.3219280949,0
3.4594316186,0
2,0
2.5849625007,0
3.5849625007,0
3.7004397181,0
3.8073549221,0
3.5216406363,0
3.9068905956,0
4,0
4.0874628413,0
4.1699250014,0
4.1426643555,0
2,0
4.3219280949,0
4.3923174228,0
4.4594316186,0
4.5235619561,0
4.5849625007,0
4.9068905956,0
7.5235619561,1
6.2094533656,1
6.1699250014,1
6.2288186905,1
6.2288186905,1
6.2094533656,1
6.2479275134,1
6.2094533656,1
6.2094533656,1
6.1898245589,1
5.7813597135,1
5.7279204546,1
6.1898245589,1
5.3923174228,1
5.9541963104,1
5.9541963104,1
6.1898245589,1
6,1
6.2288186905,1
6.1699250014,1
5.9068905956,1
6.2288186905,1
5.7279204546,1
5.672425342,1
5.8328900142,1
5.2094533656,1
5.0874628413,1
6.1898245589,1
5.2479275134,1
5.3219280949,1
5.3219280949,1
